label,sample,height,del13C,del18O,lab,biozone,biozone label,reference,locality,geographic location,standard material,temperature during sample digestion ,reference,sample material,external repr. del13C,external repr. del18O,latitude,longitude
"Abadeh (Korte et al., 2004)",73,257,-0.3,-6.5,Texas A&M university,I. isarcica,I,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",72,237,-0.32,-6.29,Insbruck,H. parvus,H,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",71,197,-0.16,-6.23,Insbruck,H. parvus,H,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",70,167,-0.08,-6.9,Bochum,H. parvus,H,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.08,0.01,32.5343,53.1217
"Abadeh (Korte et al., 2004)",69,157,-0.07,NA,Insbruck,H. parvus,H,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",68c,138,-0.09,-6.06,Texas A&M university,H. parvus,H,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",68d,128,-0.12,-6.59,Texas A&M university,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",68b,88,0.13,NA,Insbruck,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",68a,78,1.12,-3.5,Texas A&M university,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",67,59,0.38,-6.31,Insbruck,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
